ip,peak_requests_per_window,avg_requests_per_window,total_windows_active,total_requests,peak_rate_per_sec,classification
203.0.113.11,57,46.857142857142854,7,328,57.0,ATTACKER
203.0.113.17,57,46.714285714285715,7,327,57.0,ATTACKER
203.0.113.12,56,47.0,7,329,56.0,ATTACKER
203.0.113.10,56,47.142857142857146,7,330,56.0,ATTACKER
203.0.113.16,56,46.714285714285715,7,327,56.0,ATTACKER
203.0.113.15,56,46.714285714285715,7,327,56.0,ATTACKER
203.0.113.13,55,46.714285714285715,7,327,55.0,ATTACKER
203.0.113.14,55,46.714285714285715,7,327,55.0,ATTACKER
198.51.100.23,3,1.25,16,20,3.0,normal
198.51.100.24,2,1.1875,16,19,2.0,normal
198.51.100.22,2,1.2666666666666666,15,19,2.0,normal
198.51.100.21,2,1.3571428571428572,14,19,2.0,normal
198.51.100.20,2,1.2,15,18,2.0,normal
